Jugador,Partidos Jugados,Titular,Suplente,Sin ingresar,G + A,Goles,Asistencias,T.A,T.R,Minutos de titular,Minutos de Suplente,Total,Goles cada 90,Asistencias cada 90,G/A cada 90
Villalba. Jorge,13,13,0,0,-9,-9,0,0,0,1035,0,1035,-0.78,0.0,-0.78
Stuckrath. Leonel,0,0,0,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Gutman. Ivan,11,11,0,0,1,0,1,4,0,793,0,793,0.0,0.11,0.11
Sucari. Santiago,6,4,2,4,0,0,0,1,0,287,72,359,0.0,0.0,0.0
Bergman. Julian,1,0,1,3,0,0,0,0,0,0,45,45,0.0,0.0,0.0
Cohen. Gaston,9,9,0,0,1,0,1,2,2,808,0,808,0.0,0.11,0.11
Belfiore. Matias,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Braun. Manuel,4,1,3,5,0,0,0,0,0,0,67,67,0.0,0.0,0.0
Maleh. Joan,12,12,0,0,0,0,0,3,1,1011,0,1011,0.0,0.0,0.0
Gauna. Tomas,4,1,3,5,0,0,0,1,0,59,38,97,0.0,0.0,0.0
Schor. Diego,12,11,1,0,2,1,1,2,0,828,31,859,0.12,0.12,0.23
Yedlin. Julian,1,1,0,0,0,0,0,0,0,63,0,63,0.0,0.0,0.0
Saroka. Federico,4,2,2,1,0,0,0,1,0,135,39,174,0.0,0.0,0.0
Tolcachier. Ian,2,0,2,7,0,0,0,0,0,0,15,15,0.0,0.0,0.0
Zalcman. Manuel,11,11,0,0,0,0,0,2,0,917,0,917,0.0,0.0,0.0
Spolski. Jack,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Schvarzman. Hernan,8,5,3,5,1,0,1,0,0,396,67,463,0.0,0.22,0.22
Lief. Mateo,8,2,6,0,1,0,1,0,0,120,171,291,0.0,0.34,0.34
Mamed. Pedro,3,2,1,6,0,0,0,0,0,111,49,160,0.0,0.0,0.0
Schmitt. Benjamin,12,11,1,1,1,0,1,0,0,778,45,823,0.0,0.12,0.12
Suaya. Valentino,6,2,4,0,1,0,1,0,0,137,138,275,0.0,0.33,0.33
Libenson. Andres,9,5,4,0,1,0,1,1,0,322,125,447,0.0,0.2,0.2
Szvalb. Federico,10,2,9,3,0,0,0,0,0,122,238,360,0.0,0.0,0.0
Salmun. Gonzalo,11,5,6,0,3,0,3,2,0,393,104,497,0.0,0.55,0.55
Baldoma. Matias,4,1,3,1,3,2,1,1,1,59,81,140,1.54,0.77,2.31
Rozic. Tomas,13,13,0,0,10,9,1,2,0,1170,0,1170,0.75,0.08,0.83
Brunfman. Ariel,8,6,2,0,4,3,1,5,0,444,58,502,0.62,0.21,0.83
Mingolla. Naza,13,13,0,0,1,0,1,4,0,1163,0,1163,0.0,0.08,0.08
Mamed. Lukas,5,0,5,2,1,1,0,0,0,0,93,93,0.97,0.0,0.97
Kilemnic. Dan,1,1,0,2,0,0,0,0,0,90,0,90,0.0,0.0,0.0
